id,source,title,company,region,city,salary_min,salary_max,salary_avg,contract_type,posting_date,collected_date,role_category,description
17,adzuna,Business Analyst - Process Improvement (Laboratory Operations / HealthTech),Additional Resources Ltd,London,London,104000.0,130000.0,117000.0,contract,2026-04-22,2026-04-22 23:27:16,Business Analyst,"An opportunity has arisen for a Business Analyst to join a well-established biotech company using large-scale genetic data and AI to predict disease risk and advance precision healthcare. As a Business Analyst , you will be mapping, analysing, and improving laboratory operational processes, supporting data quality and workflow efficiency initiatives. This is a 6-month contract-based role offering hybrid / remote working options, salary range of £400 - £500 per day and benefits. You will be resp…"
24,adzuna,Business Intelligence Analyst,Profectus Recruitment,London,London,50000.0,60000.0,55000.0,permanent,2026-04-22,2026-04-22 23:27:16,BI Analyst,"Profectus Recruitment is proud to be supporting a leading financial services organisation who are recruiting for a Business Intelligence Analyst to join their growing data function. This role sits within a highly regulated environment where data and reporting are central to decision-making, offering the opportunity to work on high-impact dashboards, analytics, and business-critical reporting. The Role Design, build and maintain Power BI dashboards and reports Work with stakeholders across the b…"
28,adzuna,Business Analyst - Process Improvement (Laboratory Operations / HealthTech),Additional Resources,London,Westminster,104000.0,130000.0,117000.0,contract,2026-04-22,2026-04-22 23:27:16,Business Analyst,"An opportunity has arisen for a Business Analyst to join a well-established biotech company using large-scale genetic data and AI to predict disease risk and advance precision healthcare. As a Business Analyst, you will be mapping, analysing, and improving laboratory operational processes, supporting data quality and workflow efficiency initiatives. This is a 6-month contract-based role offering hybrid / remote working options, salary range of £400 - £500 per day and benefits. You will be respo…"
39,adzuna,Business Intelligence Analyst - Transact,Transact,London,London,43037.88,43037.88,43037.88,Not Specified,2026-04-22,2026-04-22 23:27:16,BI Analyst,"Job Description We are currently recruiting for a Business Intelligence Analyst to join our BI team. This role will provide business intelligence to support reporting and decision making. You will be responsible for considering how best to communicate information drawn from data to both internal and external stakeholders. Responsibilities include: Architect, design and develop end to end Power BI business intelligence solutions. Gather requirements for new reports. Analyse data to identify tren…"
49,adzuna,Technical Business Analyst,Method Resourcing,London,London,156000.0,156000.0,156000.0,contract,2026-04-22,2026-04-22 23:27:16,Business Analyst,"Technical Business Analyst l Quantexa l Implementation l Banking l Finance l Data l documentation l Stakeholder management l £600 per day l Outside IR35 l London Hybrid l 12 months We are looking for an experienced Quantexa certified Technical Business Analyst to support a Quantexa implementation for a leading banking client. This role sits at the intersection of business, data, and technology, playing a key part in translating banking requirements into effective Quantexa solutions. Essential S…"
50,adzuna,Business Analyst,GUARDIAN NEWS AND MEDIA,London,London,35287.46,35287.46,35287.46,Not Specified,2026-04-22,2026-04-22 23:27:16,Business Analyst,"Join our team at the Guardian and be a part of a diverse and inclusive global organisation that delivers fearless, investigative journalism, and holds power to account. Our team of award-winning journalists, cutting-edge commercial professionals, and industry-leading digital experts are committed to making a difference and represent a wide range of backgrounds and perspectives. We offer a challenging and exciting environment for career development, with a focus on training, growth and fostering…"
53,adzuna,Business Analyst,eMFusion Limited,London,London,76773.39,76773.39,76773.39,contract,2026-04-22,2026-04-22 23:27:16,Business Analyst,"About the Company We are supporting a leading consulting firm engaged on a high-profile programme with a global investment bank. About the Role We are seeking an experienced Business Analyst to join on an initial 4-month contract (extension likely based on the analysis done in this first contract). This role will play a key part in a complex transformation initiative, focusing on building a comprehensive view of products, processes, and external market connectivity within a new legal entity str…"
72,adzuna,Business Analyst - Skills & Transformation - HSBC,HSBC,London,London,50085.34,50085.34,50085.34,Not Specified,2026-04-22,2026-04-22 23:27:16,Business Analyst,"Business Analyst (Skills & Transformation) £94,000 per annum London (Hybrid) 12 Month Assignment HSBC are currently searching for a Business Analyst to join their team on London to support on their Skills & Transformation Programme. This role is responsible for supporting the Process & Experience workstream of a major skills-based transformation, centred on the deployment of SAP SuccessFactors Talent Intelligence Hub and Career & Talent Development capabilities. Key Responsibilities Requirement…"
73,adzuna,Business Analyst - Process Improvement (Laboratory Operations / HealthTech),Additional Resources Ltd,London,London,104000.0,130000.0,117000.0,contract,2026-04-22,2026-04-22 23:27:16,Business Analyst,"An opportunity has arisen for a Business Analyst to join a well-established biotech company using large-scale genetic data and AI to predict disease risk and advance precision healthcare. As a Business Analyst , you will be mapping, analysing, and improving laboratory operational processes, supporting data quality and workflow efficiency initiatives. This is a 6-month contract-based role offering hybrid / remote working options, salary range of £400 - £500 per day and benefits. You will be resp…"
74,adzuna,"Technical Business Analyst - On-Prem to Cloud Migration, Azure",Hays Specialist Recruitment Limited,London,London,130000.0,143000.0,136500.0,contract,2026-04-22,2026-04-22 23:27:16,Business Analyst,"Technical Business Analyst - On-Prem to Cloud Migration, Azure Up to £550 per day (Inside IR35) London / Hybrid 6 months My client is seeking a highly Technical Business Analyst with proven experience of On-Prem to Cloud Migrations (Azure) within an Insurance / Financial Services (highly regulated). Key Requirements: Proven experience as a Technical Business Analyst with focus of On-Prem to Cloud (Azure) Migration(s) Ability to provide thorough Technical Analysis and have a strong understanding…"
106,adzuna,Business Intelligence Analyst,Profectus Recruitment,London,London,50000.0,60000.0,55000.0,permanent,2026-04-22,2026-04-22 23:27:16,BI Analyst,"Profectus Recruitment is proud to be supporting a leading financial services organisation who are recruiting for a Business Intelligence Analyst to join their growing data function. This role sits within a highly regulated environment where data and reporting are central to decision-making, offering the opportunity to work on high-impact dashboards, analytics, and business-critical reporting. The Role Design, build and maintain Power BI dashboards and reports Work with stakeholders across the b…"
107,adzuna,Business & Data Analyst,Tenth Revolution Group,London,London,60000.0,90000.0,75000.0,permanent,2026-04-22,2026-04-22 23:27:16,Data Analyst,"Business & Data Analyst - London Market / Lloyd's Insurance - SQL, Data Analysis, PAS, DA - London (Hybrid) - Up to £90,000 This is a strong opportunity to join a well-established London Market insurance organisation that's actively investing in data, reporting and platform transformation in underwriting, pricing, claims and reinsurance. You'll sit at the heart of the business, working on meaningful change programmes. The role gives you real visibility, influence, and the opportunity to shape h…"
111,adzuna,Business Analyst - Jupiter Asset Management Ltd,Jupiter Asset Management Ltd,London,London,45726.07,45726.07,45726.07,Not Specified,2026-04-22,2026-04-22 23:27:16,Business Analyst,"The Value of Active Minds About Jupiter Jupiter is one of the UK's leading investment management companies with just under 500 employees and £54 billion worth of assets under management (as at 31st December 2025) Jupiter provides investment services to individual and institutional investors through mutual funds (UK unit trusts, Luxembourg SICAVs and Dublin OEICs), separately managed accounts and sub-advised funds. Jupiter has experienced a period of international growth with offices open in EME…"
112,adzuna,Regulatory Business Analyst (eCTD/CMC) Healthcare/Life Sciences - £4,Ventula Consulting Limited,London,Monument,9100.0,104000.0,56550.0,contract,2026-04-22,2026-04-22 23:27:16,Business Analyst,"Regulatory Business Analyst (eCTD/CMC) Healthcare/Life Sciences - £400 (Outside IR35) Remote Ventula Consulting United Kingdom (Remote) Save Apply Leading Healthcare client now requires an experienced Regulatory Business Analyst to lead business analysis activities across their regulatory intelligence programme. You'll sit at the intersection of regulatory affairs, technology, and operations translating complex regulatory requirements into actionable solutions that drive compliance and efficien…"
113,adzuna,Business Analyst,VIQU Limited,London,Bishopsgate,156000.0,169000.0,162500.0,contract,2026-04-22,2026-04-22 23:27:16,Business Analyst,"Business Analyst – 3-month contract – Remote – Utilities Sector We’re currently supporting a major organisation within the utilities sector on a large-scale NIS (Network and Information Systems) programme , and they are looking for an experienced Business Analyst to play a key role across a highly complex portfolio of work. This programme consists of approximately 300 projects , all aligned to strengthening cyber resilience, regulatory compliance, and operational security. As a result, they are…"
117,adzuna,Business Analyst,INSTANDA,London,London,42503.63,42503.63,42503.63,Not Specified,2026-04-22,2026-04-22 23:27:16,Business Analyst,"We’re pushing the boundaries of Insurance Technology INSTANDA is the worlds first no code platform for Insurance. A pioneering Insurtech, we’re revolutionising the insurance industry by offering insurers a versatile tool to create, manage, and distribute digital insurance products. Our innovative technology empowers insurance carriers to adapt swiftly to market demands and navigate the evolving landscape. Our Technology is consistently recognised as the best policy administration platform for i…"
