month,job_count,avg_salary,month_over_month_growth
2023-12-01,12,34304.64,
2024-03-01,4,66583.28,-66.66666666666667
2025-03-01,4,68975.41,0.0
2025-07-01,20,67492.736,400.0
2025-08-01,4,43185.19,-80.0
2025-09-01,16,52124.4275,300.0
2025-10-01,12,46232.380000000005,-25.0
2025-11-01,8,31943.84,-33.333333333333336
2025-12-01,20,52551.626000000004,150.0
2026-01-01,52,52353.51307692308,160.0
2026-02-01,164,55500.957073170735,215.3846153846154
2026-03-01,352,64594.51863636363,114.63414634146343
2026-04-01,1496,57154.396443850266,325.0
