title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
BI Analyst,Harnham - Data & Analytics Recruitment,"London, UK",45000,70000,2026-04-10T23:57:28Z,"BI ANALYST LONDON/HYBRID UP TO £70,000 This is a rare opportunity to join a high organisation at a pivotal stage of scale up. Sitting within a centralised Business Intelligence function, you will play a key role in shaping how data is used across the business, influencing decisions at pace and delivering insight that genuinely drives value. ROLES AND RESPONSIBILITIES:The BI Analyst will: Use SQL to explore data, build well structured datasets and deliver repeatable analysis Design, build and ma…",IT Jobs,permanent
BI Analyst,Harnham - Data & Analytics Recruitment,"London, UK",50000,55000,2026-04-08T23:44:39Z,"BI ANALYST REMOTE/ OCCASIONAL SHEFFIELD TEAM DAYS UP TO £55,000 This is a high impact Data Analyst role where you will help shape how a growing digital business uses data. You will play a central role in building core reporting foundations, defining meaningful commercial metrics, and enabling better decision making across the organisation during an exciting period of data transformation. ROLES AND RESPONSIBILITIES: The BI Analyst will: Build and maintain core analytics data models using SQL, in…",IT Jobs,permanent
BI Analyst,I3 Resourcing Limited,"London, UK",80000,80000,2026-03-17T22:40:48Z,"Business Intelligence / Data & Regulatory Returns Analyst City of London - HYBRID £80,000 MUST HAVE a minimum of 5 years' experience in a data or BI role within the Lloyd's or London Market insurance environment MUST HAVE demonstrable hands-on experience with regulatory returns (e.g. RRA, RRQ, Solvency II / SUK, PMD, QMB) MUST HAVE an understanding of reserving concepts and technical provisions within a syndicate or similar insurance context A hands-on role at the centre of regulatory reporting…",IT Jobs,
Senior BI Analyst,Synergy Resourcing Solutions Limited,"Farringdon, Central London",62201.57,62201.57,2026-02-10T00:49:23Z,"We’re recruiting for an established professional services business modernising their reporting and data platform. They’re hiring a Senior BI Analyst to deliver “decision-ready” reporting, improve data quality and metric consistency, and increase automation across their analytics workflows. What you’ll do: * Develop and maintain scalable data models and reporting outputs that support business needs * Lead data quality initiatives, ensuring accuracy and consistency * Reduce reporting issues and m…",IT Jobs,
Senior BI Analyst,Zopa,"London, UK",58456.49,58456.49,2026-03-11T10:11:39Z,"Our Story Hello there. We’re Zopa. We started our journey back in 2005, building the first ever peer-to-peer lending company. Fast forward to 2020 and we launched Zopa Bank. A bank that listens to what our customers don’t like about finance and does the opposite. We’re redefining what it feels like to work in finance. Our vision for a new era of banking puts people front and centre — we’ve built a business that empowers everyone to aim high, every day, to move finance forward. Find out more abo…",IT Jobs,
Power BI Analyst,Morgan Hunt Recruitment,"London, UK",50000,55000,2026-04-13T22:19:22Z,"Business Intelligence & Data Analyst This is a high-impact opportunity for a Business Intelligence & Data Analyst to shape how data drives decision-making across a complex, multi-stakeholder organisation. You'll take ownership of end-to-end analytics delivery-from scoping and data modelling through to building dashboards and presenting insights to senior leaders. This is a hands-on role where technical capability meets real business influence. Power BI sits at the heart of the analytics stack, …",IT Jobs,permanent
Sales Insights & BI Analyst,Safetykleen,"Brentford, West London",65000,70000,2026-04-16T02:46:45Z,"Drive Global Commercial Performance Through Sales Insight Sales Insights & BI Analyst £65,000 - £70,000 annual salary  bonus  benefits International role | Power BI | SQL | ERP reporting | Sales performance analytics About Safetykleen Imagine working for a company where your role genuinely matters for the planet and directly influences how a global business grows commercial performance. We are a global leader with over 50 years’ experience, helping businesses operate more safely, responsibly, a…",IT Jobs,permanent
Customer Insights & BI Analyst,Safetykleen,"Brentford, West London",65000,70000,2026-04-16T02:46:46Z,"Shape Customer Insight Across a Global Business Customer Insights & BI Analyst £65,000 - £70,000  bonus  benefits Global role | Power BI | SQL | D365 CE / Dataverse | Customer journey reporting About Safetykleen Imagine working for a company where your role genuinely matters for the planet and directly shapes the experience of customers across an international business. We are a global leader with over 50 years’ experience, helping businesses operate more safely, responsibly, and efficiently th…",IT Jobs,permanent
BI Reporting Analyst - Morgan McKinley,Morgan McKinley,"London, UK",46815.88,46815.88,2026-04-03T12:53:32Z,"BI Reporting Analyst (Contract) Immediate start | Hybird working - Victoria | £250-285pd inside IR35 | Contract until 31st July (likely extension) We're working with a global organisation to hire a BI Reporting Analyst to support their Customer Success function (international markets), with a strong focus on growth, retention and account expansion. This is a highly visible role where you'll play a key part in turning data into actionable insights, supporting decision-making across Customer Succ…",IT Jobs,contract
BI Reporting Analyst,Synapri,"Farringdon, Central London",65000,72800,2026-03-31T21:33:33Z,"BI Reporting Analyst - SQL - Tableau - Qliksense - statistical Analysis - Contract - London - Hybrid * Location: London, Victoria * Pay Rate: £280 per day Inside IR35 * Duration: 12 Months * Working situation: 3 days per week in the office My client who are leaders in their field are looking for a BI Reporting Analyst to join them on an initial 12 month contract. Key Responsibilities: 1. Dashboard Development: * Design and build interactive and Customer Success dashboards to report on retention…",IT Jobs,contract
BI Reporting Analyst,EF Recruitment,"Pimlico, South West London",60000,60000,2026-03-26T20:29:10Z,"Our client is a global SaaS type company who are now seeking a BI Reporting Analyst based at their impressive UK headquarters in central London. This is a 12 month contract, hybrid, with 3 days a week in their offices. You will be supporting their EMEA business working directly with their sales and marketing teams, Duties * Prepare sales reports and dashboards using Salesforce, MS Excel.(Tableau, or Qlikview is considered a plus.) * Audit data and reconcile when discrepancies are identified. Au…",IT Jobs,contract
BI Reporting Analyst,Morgan McKinley,"London, UK",65000,74100,2026-04-08T01:54:11Z,"BI Reporting Analyst (Contract) Immediate start | Hybird working - Victoria | £250-285pd inside IR35 | Contract until 31st July (likely extension) We're working with a global organisation to hire a BI Reporting Analyst to support their Customer Success function (international markets), with a strong focus on growth, retention and account expansion. This is a highly visible role where you'll play a key part in turning data into actionable insights, supporting decision-making across Customer Succ…",IT Jobs,contract
