title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
Data Analyst Trainee,ITOL Recruit,"Kingston Upon Thames, South West London",30000,50000,2026-04-08T13:46:21Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",IT Jobs,permanent
Trainee Data Analyst,ITOL Recruit,"London, UK",30000,50000,2026-04-13T12:12:18Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",IT Jobs,permanent
Data Analyst Trainee,ITOL Recruit,"Enfield, London",30000,50000,2026-04-08T13:43:19Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",IT Jobs,permanent
Trainee Data Analyst,ITOL Recruit,"Twickenham, London",30000,50000,2026-03-30T15:27:22Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",IT Jobs,permanent
Trainee Data Analyst,ITOL Recruit,"Enfield, London",30000,50000,2026-03-30T15:31:22Z,"Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",IT Jobs,permanent
Lead Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",55000,65000,2026-04-10T18:12:51Z,"Lead Data Analyst London, Hybrid (1-2x per week) Up to £65,000 This is an exciting opportunity to join a high-growth organisation where data science directly shapes performance marketing strategy. You will lead a growing data science function, drive long-term analytical programmes, and play a key role in delivering meaningful commercial impact for well-known consumer brands. The Company They are a specialist performance marketing and technology business known for combining deep analytical exper…",Consultancy Jobs,permanent
Marketing Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",40000,50000,2026-04-08T01:55:25Z,"Marketing Data Analyst London - hybrid - 4 days per week onsiteUp to £50,000 This is a great opportunity to join a data driven marketing environment where you will help major consumer brands understand their customers, optimise digital campaigns, and use data to drive measurable commercial impact. If you enjoy solving problems, working closely with clients, and telling stories through data, this role offers both variety and real influence. The Company They are a well-established marketing and t…","PR, Advertising & Marketing Jobs",permanent
Senior Data Analyst,FDM Group,"London, UK",45643.73,45643.73,2026-04-09T23:52:18Z,"Have you previously served in the military, blue light services or currently as a serving reservist or military spouse? Do you have demonstrable experience in Data, Analytics, or related technology roles? Are you ready to transition into a new career with upskilling and career coaching included? Then you’ll want to hear about our award-winning Ex-Forces Programme — designed to help service leavers, veterans and former blue light personnel transition into a new civilian career in our Data and An…",IT Jobs,permanent
Data Analyst,Hays Specialist Recruitment Limited,"London, UK",56325.03,56325.03,2026-04-17T16:33:21Z,"Your new company This is a global legal firm with an office based in the City of London. Your new role You will be a Data Migration Analyst on a global ERP transformation programme. What you'll need to succeed End-to-end data migration experience Advanced SQL skills Hands-on experience with SAP BODS for building and managing data extraction workflows, dataflows, and batch jobs within a migration context Good understanding of SAP functional areas including S2C, P2P, R2R Experience with SAP Maste…",IT Jobs,contract
Data Analyst Trainee,ITOL Recruit,"London, UK",30000,50000,2026-04-15T14:34:01Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",IT Jobs,permanent
Data Analyst Trainee,ITOL Recruit,"London, UK",30000,50000,2026-04-22T11:08:54Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",IT Jobs,permanent
Business & Data Analyst,Tenth Revolution Group,"London, UK",60000,90000,2026-04-22T15:08:45Z,"Business & Data Analyst - London Market / Lloyd's Insurance - SQL, Data Analysis, PAS, DA - London (Hybrid) - Up to £90,000 This is a strong opportunity to join a well-established London Market insurance organisation that's actively investing in data, reporting and platform transformation in underwriting, pricing, claims and reinsurance. You'll sit at the heart of the business, working on meaningful change programmes. The role gives you real visibility, influence, and the opportunity to shape h…",Accounting & Finance Jobs,permanent
Senior Data Analyst,FDM Group,"London, UK",48177.81,48177.81,2026-04-16T18:47:59Z,"Have you had a career break of 12 months? Do you have 5 years of commercial experience, including hands-on experience in Data, Analytics, or related technology roles? Are you ready to re-join the workforce with structured training, support and career coaching included? Then you’ll want to hear about the UK’s leading Returners Programme and the opportunities to join our Data & Analytics Practice . Our Returners Programme is specifically designed to support professionals returning to work after a…",IT Jobs,permanent
Trainee Data Analyst Associate,Newto Training,"London, UK",25000,78000,2026-04-08T03:27:36Z,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",IT Jobs,permanent
