title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
Business Analyst,FDM Group,Edinburgh,40000.0,50000.0,21/04/2026,About The Role FDM is a global business and technology consultancy seeking a Business Analyst to work for our client within the financial services sector. This is initially a 5 month contract with the potential to extend and will be a hybrid role that will be based in Edinburgh. Our client is seeking someone with 3-5 years’ experience in a BA role with a focus on data analysis to support two key deliverables (50/50 split): enhancements to monthl... ,,
Business Analyst,Team Energy,MK58PJ,45000.0,50000.0,30/03/2026,"This is a fantastic opportunity for an enthusiastic and capable Business Analyst to take step up and play a key role in the development of our products. As a Business Analyst, you will work closely with customers and internal teams to translate business needs into well-defined, technically sound solutions that deliver tangible business benefit. You will analyse customer and business requirements, translate them into clear and actionable outcomes... ",,
BI Business Analyst,Loom Talent Limited,Lutterworth,34000.0,36000.0,17/04/2026,"About the job Role: BI Business Analyst - 3PL Contract Logistics . Company: Leading Global 3PL Contract Logistics Provider. Location: Lutterworth, Leicestershire (LE17). Salary &amp; Benefits: 34,000 - 36,000 + Holidays &amp; Package. Shift Pattern: The role works to a Daytime Shift Patter, The Company Loom Talent are proud to have been exclusively appointed to lead the hiring strategy for a new site start up in Lutterworth. Our client, a leadin... ",,
Business Analyst,FDM Group,Manchester,,,23/10/2025,Have you had a career break of 12+ months? Do you have 5+ years of commercial experience in industry? Are you ready to re-join the workforce with training and career coaching included? Then you’ll want to hear about the UK’s leading Returners Programme and how it helps 100+ returners restart their careers every year. Our Returners Programme is specifically designed to support professionals returning to work after a career break. Having restarted... ,,
Business Analyst,FDM Group,York,,,23/10/2025,Have you had a career break of 12+ months? Do you have 5+ years of commercial experience in industry? Are you ready to re-join the workforce with training and career coaching included? Then you’ll want to hear about the UK’s leading Returners Programme and how it helps 100+ returners restart their careers every year. Our Returners Programme is specifically designed to support professionals returning to work after a career break. Having restarted... ,,
Business Analyst,Sagacity ,London,,,20/08/2025,"As a Business Analyst, you’ll play a key role in understanding what our clients need for each project or change initiative. You’ll work closely with the wider project team to make sure your deliverables are completed on time and aligned with what the client expects. This includes: Mapping the ‘As Is’ processes by interviewing SMEs, running workshops, and securing the necessary approvals Shaping the ‘To Be’ processes, again working with SMEs and ... ",,
Business Analyst,FDM Group,London,70000.0,80000.0,19/03/2026,"FDM is a global business and technology consultancy seeking a highly capable Technical Business Analyst to work for our client to support the design, specification, and delivery of API and integration capabilities across the organisation. This is initially a 12-month contract with strong prospects for extension and will be hybrid role based in London or York . The Business Analyst will play a key role in defining end-to-end API flows, standardis... ",,
Business Analyst,Howdens Joinery,Howden,,,10/04/2026,"We are looking for another Business Analyst to join our busy Digital &amp; Business Systems Product Delivery Team based in Howden, Yorkshire. As a FTSE 100 business with an ambitious growth agenda, this role offers an excellent opportunity to work closely with the Digital &amp; Business Systems team on a broad range of manufacturing, digital or trade projects The team work in the office 4 days a week with 1 day from home.&nbsp; What will I be do... ",,
Business Analyst,FDM Group,Leeds,,,23/10/2025,Have you had a career break of 12+ months? Do you have 5+ years of commercial experience in industry? Are you ready to re-join the workforce with training and career coaching included? Then you’ll want to hear about the UK’s leading Returners Programme and how it helps 100+ returners restart their careers every year. Our Returners Programme is specifically designed to support professionals returning to work after a career break. Having restarted... ,,
Pricing Business Analyst,Reed,NN47RG,70000.0,70000.0,20/03/2026,"Role: Pricing Business Analyst Location: Remote with occasional travel to our Northampton office Contract: Permanent, Full Time Reed Talent Solutions are hiring a Pricing Business Analyst to help shape the commercial success of our MSP and RPO programmes. If you love data, modelling, and building pricing that wins bids, this role is for you. What You’ll Do Build and enhance complex pricing and financial models using advanced Excel and Power BI W... ",,
Business Intelligence Analyst,Transact,London,,,22/04/2026,"We are currently recruiting for a Business Intelligence Analyst to join our BI team. This role will provide business intelligence to support reporting and decision making. You will be responsible for considering how best to communicate information drawn from data to both internal and external stakeholders. Responsibilities include: Architect, design and develop end to end Power BI business intelligence solutions. Gather requirements for new repo... ",,
Senior Business Analyst,Sopra Steria,HP27AH,40000.0,52000.0,18/03/2026,"Join us as a Senior Business Analyst on a 12-month fixed-term contract, where you’ll work on high-complexity, business-critical projects that shape how our clients operate. You’ll be part of a collaborative, expert Business Analysis community known for its supportive culture, shared knowledge, and commitment to best practice. We can offer great career progression opportunities, the ability to be based anywhere across the UK, benefits which you c... ",,
Business Analyst (CX),Riverside Group,Liverpool,57270.6,57270.6,09/04/2026,"Job Title: Business Analyst Contract Type:  Fixed Term Contract for 12 months&nbsp; Salary :  57,270.60 Per Annum ( 63,125.84 is achieved after 12 months successful performance in the role) Per Annum Working Hours: 35 hours per week Working Pattern: 9am-5pm flexible working, Hybrid Location : Speke, Liverpool If you share our values and are excited about making a significant impact at Riverside, please ensure you attach a current CV and covering... ",,
Senior Business Analyst,Southwark Council,London,54360.0,61686.0,09/04/2026,"Why Southwark? Southwark Council is delivering a major programme of change to improve outcomes for residents while ensuring services remain financially sustainable. The Change team within Strategy &amp; Communities leads a cross-council portfolio of transformation work focused on improving services, redesigning processes and delivering savings. The team combines programme management, delivery management, service design, business analysis and PMO... ",,
Business Analyst - Tech,Davies Group,Home Meadow,,,09/04/2026,"As a Business Analyst at Davies Technology Solutions (DTS), you will engage with both internal and external stakeholders to gather and document requirements, processes, risks, and objectives to support the successful delivery of software products. You will also provide effort estimates and sizing for project scope. Reporting to the Principal Business Analyst, you will work closely with cross-functional teams to ensure alignment and achievement o... ",,
Business and Reporting Analyst,Computershare flexible Talent,Edinburgh,,,16/04/2026,"Computershare is global leader in financial administration with over 12,000 employees across more than 22 different countries. Many of the world's leading organisations use us to streamline and maximise the value of relationships with their investors, employees, creditors and customers. Our global footprint means we have the scale to maintain robust compliance, audit, risk, financial crime, disaster recovery and business continuity planning prog... ",,
Guidewire Business Analyst – Commercial Insurance,STACKSTUDIO DIGITAL LTD.,London,350.0,380.0,20/03/2026,"DevOps Engineer Client: Leading UK Bank Contract Type: 6-month contract – Inside IR35 Location: UK (Hybrid – London / Regional offices) Start: ASAP Role Overview Join the Data Platform DevOps team to build and run highly reliable CI/CD pipelines and infrastructure for the bank’s modern data estate (AWS + Airflow + Databricks). Key Responsibilities Design, build and maintain Infrastructure as Code using CloudFormation and AWS services Manage and ... ",,
Procurement Analyst,Matchtech ,Winchester,40000.0,43000.0,14/03/2026,"A market-leading FMCG/distribution business require a Procurement Analyst. Applicants should have expertise in MS Excel, Power BI and ideally Microsoft Dynamics and experience analysing data, presenting insights and storytelling. The Procurement Analyst will be responsible for developing procurement systems, reports, dashboards and KPIs to optimise inventory/stock holdings, and drive effective procurement and commercial decision-making. The busi... ",,
Procurement Analyst,Matchtech ,Basingstoke,40000.0,43000.0,14/03/2026,"A market-leading FMCG/distribution business require a Procurement Analyst. Applicants should have expertise in MS Excel, Power BI and ideally Microsoft Dynamics and experience analysing data, presenting insights and storytelling. The Procurement Analyst will be responsible for developing procurement systems, reports, dashboards and KPIs to optimise inventory/stock holdings, and drive effective procurement and commercial decision-making. The busi... ",,
